response,predictor,block,beta,se_cluster,p_cluster
Hill q1,Rugosity_mean,structure,-0.023442710954806184,0.021110823157411456,0.2668011356670784
Hill q1,Vert_CV_mean,structure,0.015710186024413722,0.03598278449272284,0.6623994001659061
Hill q1,VCI_mean,structure,0.18852193047026705,0.035303632376355316,9.293883297804774e-08
Hill q1,LAI_mean,structure,0.17531345924334366,0.05971533655711461,0.0033266765724584224
Hill q1,EVI_mean,spectral,0.17398633057056778,0.03923425177138321,9.226393901381528e-06
Hill q1,ARVI_mean,spectral,-0.06028415788965733,0.045993609683226744,0.18995668667152465
Hill q1,Canopy_Ht_trend,dynamics,0.008987754699704753,0.04785090192281311,0.8510112317456717
Hill q1,Rumple_trend,dynamics,0.052110662142615664,0.021007986025311638,0.013119208358832212
Hill q1,Vert_SD_trend,dynamics,0.019118907968559445,0.035106368314320485,0.5860290508792307
Hill q1,Vert_CV_trend,dynamics,0.014217573668882433,0.03580048372658925,0.6912689708176614
Hill q1,VCI_trend,dynamics,0.028714074556666865,0.014993826679351724,0.05548487915916246
Hill q1,FHD_trend,dynamics,-0.07825841412461679,0.02430470008634158,0.0012824065225409574
Hill q1,LAI_trend,dynamics,-0.012560799134354365,0.03326553974071217,0.7057337654586511
Hill q1,Ht_Ratio_trend,dynamics,0.05998051257964192,0.040781964742367706,0.14135583371288832
Hill q1,pml_gpp,productivity,0.1766715734815121,0.050463567950794735,0.00046356333696372397
Hill q2,Rugosity_mean,structure,-0.020265542206571452,0.020526927509532524,0.32351214427779573
Hill q2,Vert_CV_mean,structure,0.014913231087262585,0.03355841771389254,0.6567562082015808
Hill q2,VCI_mean,structure,0.16531881345660343,0.03408769037859023,1.235799417841149e-06
Hill q2,LAI_mean,structure,0.14271424163834823,0.05776339137420192,0.013486044119908972
Hill q2,EVI_mean,spectral,0.16604331877451037,0.040766944007063696,4.641359636367237e-05
Hill q2,ARVI_mean,spectral,-0.0496930564152933,0.04581379984532487,0.27806588467013404
Hill q2,Canopy_Ht_trend,dynamics,0.00197501287903136,0.04364227173175524,0.963904386547878
Hill q2,Rumple_trend,dynamics,0.03530977705772747,0.02192456568340177,0.10728611862627976
Hill q2,Vert_SD_trend,dynamics,0.015693881501370466,0.03282301690460985,0.6325530747662311
Hill q2,Vert_CV_trend,dynamics,0.0047813302120238085,0.03297544130339506,0.8847134762698693
Hill q2,VCI_trend,dynamics,0.02353566450244043,0.014341235131247665,0.1007728450156933
Hill q2,FHD_trend,dynamics,-0.07173091189672814,0.022166932769286194,0.0012124195657358787
Hill q2,LAI_trend,dynamics,-0.012956443345816117,0.03152330330845759,0.6810640285142986
Hill q2,Ht_Ratio_trend,dynamics,0.055960418757122016,0.04079337750004438,0.17012522254355544
Hill q2,pml_gpp,productivity,0.1666518583061131,0.046462504122618396,0.0003347567799320421
LCBD turnover,Rugosity_mean,structure,-0.003078630231055455,0.013696209941031845,0.8221506437367864
LCBD turnover,Vert_CV_mean,structure,-0.0005843543257196722,0.01577584619872309,0.9704522538968926
LCBD turnover,VCI_mean,structure,0.010148145109467058,0.013244490273528052,0.4435475763039044
LCBD turnover,LAI_mean,structure,-0.003505843016261556,0.02712286824242522,0.8971536404487069
LCBD turnover,EVI_mean,spectral,-0.013301304872837792,0.03225358929687841,0.6800479752760048
LCBD turnover,ARVI_mean,spectral,0.05398330009874669,0.0355415108203776,0.12879263225066437
LCBD turnover,Canopy_Ht_trend,dynamics,0.01133329110126488,0.01798474106628192,0.5285889367926337
LCBD turnover,Rumple_trend,dynamics,0.02028975237754887,0.013994063240697937,0.14709118892062492
LCBD turnover,Vert_SD_trend,dynamics,-0.01969479045364137,0.01563917303183979,0.207913223699434
